speaker,text,time
Marcelo Kuwer,"E aí, não tô te ouvindo.",40.514
Guilherme Vieira,"E aí, tudo bem?",50.174
Guilherme Vieira,"Beleza, cê?",53.494
Marcelo Kuwer,Tudo certo.,54.734
Guilherme Vieira,As atualizações aí?,57.514
Marcelo Kuwer,"Não, vamos lá?",60.114
Marcelo Kuwer,"Vamos lá, vamos lá, vamos lá, tô ansioso pra usar isso aí.",62.834
Guilherme Vieira,Bastante...,70.349
Guilherme Vieira,"O Google mudou os barulhinhos agora, tá fazendo uns barulhinhos estranhos.",71.569
Guilherme Vieira,"Ali, você viu o botãozinho metrics em Tela Cheia?",80.249
Guilherme Vieira,Pra facilitar.,83.089
Marcelo Kuwer,E...,84.109
Marcelo Kuwer,Ficou bem legal.,86.229
Guilherme Vieira,Aí já facilita.,88.029
Guilherme Vieira,"Aí, por exemplo, você vê, quando tiver coisa mesclada, muitas campanhas, vários objetivos, clica ali no Resultados Totais.",89.389
Marcelo Kuwer,Aonde?,96.91
Marcelo Kuwer,Resultados totais?,97.47
Guilherme Vieira,"É embaixo, do lado do gasto total.",98.99
Marcelo Kuwer,Do lado do gasto...,101.71
Guilherme Vieira,Os números.,103.83
Guilherme Vieira,Aqui!,104.47
Marcelo Kuwer,Boa!,105.13
Marcelo Kuwer,"Ah, boa!",105.81
Guilherme Vieira,"Aí você seleciona qual a métrica que você quer puxar e aí ele só vai fazer o análise em cima das campanhas, o quanto cada campanha gastou.",107.47
Guilherme Vieira,"Ele não junta tudo, o saldo, e faz a análise.",118.05
Marcelo Kuwer,"Tá, eu cliquei aqui então, resultados totais, cliquei em compra, né?",123.235
Marcelo Kuwer,"Deu 69 reais, 69 compras?",127.495
Guilherme Vieira,"69, Qual que é o período?",131.875
Marcelo Kuwer,Sete dias.,135.335
Guilherme Vieira,É da...?,136.455
Marcelo Kuwer,Da Mai.,138.635
Guilherme Vieira,Tá.,140.415
Guilherme Vieira,Eu acho que...,141.635
Guilherme Vieira,Tá.,142.495
Guilherme Vieira,Beleza.,145.895
