speaker,text,time
Guilherme Vieira,Nossa!,5.667
Guilherme Vieira,Beleza.,8.507
Guilherme Vieira,Peraí que eu tô passando café aqui.,10.347
Guilherme Vieira,"Beleza, e aí?",13.107
Guilherme Vieira,Peraí.,14.647
Guilherme Vieira,"Oi, e aí, beleza?",32.267
Guilherme Vieira,Oi?,35.114
Guilherme Vieira,"Tô passando um café aqui, peraí.",39.914
Marcelo Kuwer,"Ah, beleza, tranquilo.",43.054
Marcelo Kuwer,Eu espero.,44.674
Guilherme Vieira,"Vocês não pararam o feriadão, não?",47.454
Marcelo Kuwer,"É ponto facultativo, né?",52.834
Marcelo Kuwer,A empresa escolhe se vai dar ou não.,58.094
Guilherme Vieira,"Ah, entendi.",59.934
Marcelo Kuwer,"Então, como tinha muita coisa, teve muito feriado já, eu optei em trabalhar nesse pra poder dar um gás e adiantar algumas coisas.",62.013
Guilherme Vieira,"Boa, boa.",73.033
Guilherme Vieira,"Eu não sabia que era facultativo, né?",75.993
Marcelo Kuwer,"É, a gente descobriu também esse mês.",79.473
Marcelo Kuwer,"Daí, como tinha algumas coisas que não estavam no meu agrado, a gente decidiu trabalhar.",82.753
Marcelo Kuwer,"E aí, qual que é a boa?",93.232
Marcelo Kuwer,Quais são as news?,94.392
Guilherme Vieira,O Leandro passou...,96.432
Guilherme Vieira,Ele me passou o novo prompt de...,100.152
Guilherme Vieira,Peraí que a cachorrinha tá...,104.172
Guilherme Vieira,"Não sei se dá pra ouvir mesmo, tá?",105.452
Guilherme Vieira,"Deixa eu de saco, peraí.",107.252
Guilherme Vieira,O Leandro me passou...,109.232
Guilherme Vieira,Alguns arquivos novos para alterar.,122.307
Guilherme Vieira,E um deles era a lista atualizada das regiões dos vendedores.,126.067
Guilherme Vieira,"Ele me passou o relatório de vendas deles que tinha acho que 20, 22.",134.127
Guilherme Vieira,Segundo a EIA tinha uns 22 milhões em faturamento.,145.047
Guilherme Vieira,Aí eu tô colocando aqui no CRM pra dado histórico.,151.602
Guilherme Vieira,"Ah, legal.",159.442
Marcelo Kuwer,Pra ficar histórico.,161.142
Guilherme Vieira,Isso.,162.522
Guilherme Vieira,"Aí se você for na aba de clientes, você vai ver...",163.062
Guilherme Vieira,"Agora só tem poucos, né?",166.002
Guilherme Vieira,Mas aí eles vão estar lá.,167.982
Guilherme Vieira,"Tipo assim, eles não vão atrapalhar nada do sistema.",170.502
Guilherme Vieira,Já verifiquei aqui.,173.602
Guilherme Vieira,Aí depois eu vou fazer isso aí tudo.,175.295
Guilherme Vieira,"E aí é bom que mostra o negócio mais populado, né?",178.155
Marcelo Kuwer,Com certeza.,184.415
Marcelo Kuwer,"E aí, como é que foi a reunião com a Camila?",187.695
Guilherme Vieira,"Foi boa, a gente marcou pra continuar na semana que vem, acho.",191.195
Guilherme Vieira,"Agora eu não lembro, mas tá marcado já.",196.415
Guilherme Vieira,"Ela mapeou meio que por cima a parte macro, né?",199.755
Guilherme Vieira,Do que está incluso e aí em cima disso ela falou que vai criar alguns checklists para cada uma das etapas.,205.822
Guilherme Vieira,"Basicamente foram três macros e aí dentro de cada macro tinha tipo fazer reunião, kick off, fazer, coletar requisitos, criar arquitetura, enfim, esse tipo de coisa.",214.702
Guilherme Vieira,Aí para cada uma dessas ela falou que vai criar os checklists e aí não sei se é na segunda ou na terça a gente vai fazer a call de novo.,227.962
Guilherme Vieira,E aí ela vai trazer isso e vamos ver se...,236.095
Guilherme Vieira,"Mas assim, eu achei interessante.",239.495
Guilherme Vieira,Eu achei interessante.,241.135
Marcelo Kuwer,"Não, legal, né?",242.155
Marcelo Kuwer,"Porque daí tem tanta dificuldade no processo, e se a gente precisar delegar alguma coisa pra alguém fazer, fica muito mais fácil, né, cara?",244.375
Guilherme Vieira,Sim.,254.195
Guilherme Vieira,"É, eu até falei, tem coisa ali que fala, ó...",255.595
Guilherme Vieira,Tá cortando pra mim aqui.,258.035
Guilherme Vieira,Tá me ouvindo?,262.195
Guilherme Vieira,Tá acontecendo?,262.775
Marcelo Kuwer,"Alô, alô, alô, alô, alô?",264.275
Guilherme Vieira,"É, tá travandinho.",266.487
Marcelo Kuwer,"Peraí, vê se melhorou agora.",271.047
Guilherme Vieira,Deu uma estabilizada.,274.607
Marcelo Kuwer,Deixa eu tentar botar aqui no celular.,277.007
Marcelo Kuwer,"É, deixa eu tentar botar no celular aqui.",281.067
Marcelo Kuwer,"Essa minha internet tá horrível, cara.",283.407
Marcelo Kuwer,Só um minutinho.,286.447
Marcelo Kuwer,Vamos ver se melhora colocando no 3D.,289.867
Guilherme Vieira,Qualquer coisa vamos sem câmera comigo.,295.985
Guilherme Vieira,Piorou?,298.245
Guilherme Vieira,"Agora eu tô longe, peraí.",304.905
Guilherme Vieira,"É, melhorou.",311.125
Guilherme Vieira,Deu uma melhorada.,313.105
Guilherme Vieira,Ela tava...,314.225
Guilherme Vieira,A imagem tava rolada.,316.265
Guilherme Vieira,Agora tá certo.,318.085
Guilherme Vieira,Tá certinho.,321.483
Guilherme Vieira,Aí foi isso.,323.223
